18,8,307,130,3504,12,70,American,chevroletchevellemalibu
15,8,350,165,3693,11.5,70,American,buickskylark320
18,8,318,150,3436,11,70,American,plymouthsatellite
16,8,304,150,3433,12,70,American,amcrebelsst
17,8,302,140,3449,10.5,70,American,fordtorino
15,8,429,198,4341,10,70,American,fordgalaxie500
14,8,454,220,4354,9,70,American,chevroletimpala
14,8,440,215,4312,8.5,70,American,plymouthfuryiii
14,8,455,225,4425,10,70,American,pontiaccatalina
15,8,390,190,3850,8.5,70,American,amcambassadordpl
15,8,383,170,3563,10,70,American,dodgechallengerse
14,8,340,160,3609,8,70,American,plymouth'cuda340
15,8,400,150,3761,9.5,70,American,chevroletmontecarlo
14,8,455,225,3086,10,70,American,buickestatewagon(sw)
24,4,113,95,2372,15,70,Japanese,toyotacoronamarkii
22,6,198,95,2833,15.5,70,American,plymouthduster
18,6,199,97,2774,15.5,70,American,amchornet
21,6,200,85,2587,16,70,American,fordmaverick
27,4,97,88,2130,14.5,70,Japanese,datsunpl510
26,4,97,46,1835,20.5,70,European,volkswagen1131deluxesedan
25,4,110,87,2672,17.5,70,European,peugeot504
24,4,107,90,2430,14.5,70,European,audi100ls
25,4,104,95,2375,17.5,70,European,saab99e
26,4,121,113,2234,12.5,70,European,bmw2002
21,6,199,90,2648,15,70,American,amcgremlin
10,8,360,215,4615,14,70,American,fordf250
10,8,307,200,4376,15,70,American,chevyc20
11,8,318,210,4382,13.5,70,American,dodged200
9,8,304,193,4732,18.5,70,American,hi1200d
27,4,97,88,2130,14.5,71,Japanese,datsunpl510
28,4,140,90,2264,15.5,71,American,chevroletvega2300
25,4,113,95,2228,14,71,Japanese,toyotacorona
19,6,232,100,2634,13,71,American,amcgremlin
16,6,225,105,3439,15.5,71,American,plymouthsatellitecustom
17,6,250,100,3329,15.5,71,American,chevroletchevellemalibu
19,6,250,88,3302,15.5,71,American,fordtorino500
18,6,232,100,3288,15.5,71,American,amcmatador
14,8,350,165,4209,12,71,American,chevroletimpala
14,8,400,175,4464,11.5,71,American,pontiaccatalinabrougham
14,8,351,153,4154,13.5,71,American,fordgalaxie500
14,8,318,150,4096,13,71,American,plymouthfuryiii
12,8,383,180,4955,11.5,71,American,dodgemonaco(sw)
13,8,400,170,4746,12,71,American,fordcountrysquire(sw)
13,8,400,175,5140,12,71,American,pontiacsafari(sw)
18,6,258,110,2962,13.5,71,American,amchornetsportabout(sw)
22,4,140,72,2408,19,71,American,chevroletvega(sw)
19,6,250,100,3282,15,71,American,pontiacfirebird
18,6,250,88,3139,14.5,71,American,fordmustang
23,4,122,86,2220,14,71,American,mercurycapri2000
28,4,116,90,2123,14,71,European,opel1900
30,4,79,70,2074,19.5,71,European,peugeot304
30,4,88,76,2065,14.5,71,European,fiat124b
31,4,71,65,1773,19,71,Japanese,toyotacorolla1200
35,4,72,69,1613,18,71,Japanese,datsun1200
27,4,97,60,1834,19,71,European,volkswagenmodel111
26,4,91,70,1955,20.5,71,American,plymouthcricket
24,4,113,95,2278,15.5,72,Japanese,toyotacoronahardtop
25,4,97.5,80,2126,17,72,American,dodgecolthardtop
23,4,97,54,2254,23.5,72,European,volkswagentype3
20,4,140,90,2408,19.5,72,American,chevroletvega
21,4,122,86,2226,16.5,72,American,fordpintorunabout
13,8,350,165,4274,12,72,American,chevroletimpala
14,8,400,175,4385,12,72,American,pontiaccatalina
15,8,318,150,4135,13.5,72,American,plymouthfuryiii
14,8,351,153,4129,13,72,American,fordgalaxie500
17,8,304,150,3672,11.5,72,American,amcambassadorsst
11,8,429,208,4633,11,72,American,mercurymarquis
13,8,350,155,4502,13.5,72,American,buicklesabrecustom
12,8,350,160,4456,13.5,72,American,oldsmobiledelta88royale
13,8,400,190,4422,12.5,72,American,chryslernewportroyal
19,2,70,97,2330,13.5,72,Japanese,mazdarx2coupe
15,8,304,150,3892,12.5,72,American,amcmatador(sw)
13,8,307,130,4098,14,72,American,chevroletchevelleconcours(sw)
13,8,302,140,4294,16,72,American,fordgrantorino(sw)
14,8,318,150,4077,14,72,American,plymouthsatellitecustom(sw)
18,4,121,112,2933,14.5,72,European,volvo145e(sw)
22,4,121,76,2511,18,72,European,volkswagen411(sw)
21,4,120,87,2979,19.5,72,European,peugeot504(sw)
26,4,96,69,2189,18,72,European,renault12(sw)
22,4,122,86,2395,16,72,American,fordpinto(sw)
28,4,97,92,2288,17,72,Japanese,datsun510(sw)
23,4,120,97,2506,14.5,72,Japanese,toyoutacoronamarkii(sw)
28,4,98,80,2164,15,72,American,dodgecolt(sw)
27,4,97,88,2100,16.5,72,Japanese,toyotacorolla1600(sw)
13,8,350,175,4100,13,73,American,buickcentury350
14,8,304,150,3672,11.5,73,American,amcmatador
13,8,350,145,3988,13,73,American,chevroletmalibu
